순번,자치구,거리,소요시간,추천수,연계지하철역,연계코스,연계공원,교통편,상세코스,설명,코스명,코스대분류,강남강북구분,코스레벨
1,강서구구로구금천구영등포구,18km,4시간 30분,0,1호선2호선9호선,,,출발지 : 지하철 1호선 석수역 2번 출입구<br /> 진입로 1 : 지하철 1호선 금천구청역<br /> 진입로 2 : 지하철 1호선 구일역 1번 출입구<br /> 진입로 3 : 지하철 2호선 도림천역 2번 출입구<br /> 도착지 : 지하철 9호선 가양역 4번 출입구,석수역~안양천~한강~가양역,"안양천코스는 석수역에서 출발해 안양천 한강을 따라 걸어 가양역에 도착하는 코스이다.        본 코스는 다소 길지만 지하철역이 곳곳에 위치하고 있어 대중교통의 접근이 편리하고 전 구간이 평탄한 지형으로 수월한 트레킹이 가능하다.          서울의 하천과 한강을 만끽 할 수 있어 숲길이 대부분인 다른 코스와 차별화가 된다.         곳곳에 운동시설 산책로 편의시설 휴게시설 등이 다수 위치하고 있다.<br /> ※특히 안양천길은 봄이면 봄꽃으로 물들며 하얀 벚꽃 비를 맞으며 길을 걸을 수 있다.<br /> 			<div class='table_css'> <table  cellpadding='0' cellspacing='0' width='100%' summary='세부코스정보 관련 테이블 입니다.' class='table_sub mar_tp20'> <caption>※ 세부코스</caption> 	<tr> 		  <th colspan='2' scope='col' class='end'>세부코스</th> 		  <th scope='col'>거리(km)</th> 		  <th scope='col'>소요시간</th> 		  <th scope='col'>비고</th> 	  </tr> 	<tr> 		<td rowspan='4'  class='end'>6코스 안양천</td> 	</tr> 	<tr> 		  <td>6-1</td> 		  <td>7.8</td> 		  <td>2시간</td> 		  <td>석수역 ~ 구일역</td> 	</tr> 	<tr> 	 	  <td>6-2</td> 		  <td>10.0</td> 		  <td>2시간 20분</td> 		  <td>구일역 ~ 가양역</td> 	</tr> </table> <table  cellpadding='0' cellspacing='0' width='100%' summary='세부코스정보 관련 테이블 입니다.' class='table_sub mar_tp20'> <caption>※ 스탬프 시설 위치</caption> 	<tr> 		  <th   scope='col' class='end'>코스</th> 		  <th>스탬프 시설 위치</th> 		  <th>비고</th> 	  </tr> 	<tr> 		<td rowspan='4'  class='end'>6코스 안양천</td> 	</tr> 	<tr> 		  <td>석수역 앞</td> 	  	  <td></td> 	</tr> 	<tr> 		  <td>구일역 앞</td> 		  <td></td> 	</tr> 	<tr> 		  <td>황금내근린공원 화장실 앞</td> 		  <td></td> 	</tr> </table> <table  cellpadding='0' cellspacing='0' width='100%' summary='세부코스정보 관련 테이블 입니다.' class='table_sub mar_tp20'> <caption>※ 서울둘레길 안내지도 및 스탬프북 배부처</caption> 	<tr> 		  <th  scope='col' class='end'>배부처</th> 		  <th scope='col'>연락처</th> 	 </tr>  <tr> 		  <td class='end'>서울둘레길 안내센터 (창포원)</td> 		  <td>779-7901~4</td> 	</tr>  	<tr> 		  <td  class='end'>서울시청 1층 열린민원실</td> 		  <td>2133-7904~5</td> 	</tr> 		<tr> 		  <td  class='end'>서울둘레길 안내센터 (양재)</td> 		  <td>070 - 4465 - 7905</td> 	</tr> 		<tr> 		  <td  class='end'>아차산관리사무소</td> 		  <td>450-1655</td> 	</tr> 		<tr> 		  <td  class='end'>관악산관리사무소</td> 		  <td>879-6561</td> 	</tr> </table> <font color='red' > ※유의사항<br /> 1. 안내지도 스탬프북 물량이 없을 수 있으니 문의전화 후 방문하세요.<br /> 2. 스탬프 투어시 인주(스탬프 찍는 인주)를 함께 가지고 다니면 좋습니다. <br /> </font> (스탬프가 야외에 설치되는 관계로 기후 등에 따라 인주가 마르는 경우가 있을 수 있습니다.)<br /> </div>",6코스-안양천코스,서울둘레길,강남권,초급
2,중구중랑구,9.17km,3시간,0,1호선3호선4호선,,,진입로 1 : 서울역 지하철 1 4호선 11번 출구 <br />    진입로 2 : 충무로역 지하철 3 4호선 4번 출구 <br />    진입로 3 : 도보진입 <br />    진입로 4 : 명동입구 버스 정류장(02-149) 간선버스 104 463 604 507 421 지선버스 7011 순환버스 05 90s투어  <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.    , 남산도서관앞~N서울타워~남산공원~와룡묘, 그 옛날 이 정도 석성을 쌓으려면 도대체 얼마나 많은 인력과 시간이 필요했을까? 하는 의문을 품게 만드는 성곽길로 코스를 시작한다. 서울성곽에 나 있는 길 중에서도 가장 걷기 편한 구간이 바로 이 길의 시작이다. 이후 걷게 되는 남산북측순환산책로는 남산 산책로 중의 으뜸이라 중언부언할 필요가 없을 정도이다. 좋은 길만 엮어 놓았으니 기분 좋게 발걸음 떼는 일만 남았다. <br />※가을에는 곱게 물든 단풍이 장관을 이룬다. 코스 중간에 있는 N서울타워는 각종 공연과 문화 행사 등 볼거리를 제공하고 사랑의 열쇠탑은 연인들이 사람을 확인하고 맹세하기 위해 많이 찾는 명소이기도 하다.,남산 순환 나들길,생태문화길,강북권,중급
3,관악구금천구,5.61km,3시간,0,,,,진입로 1 : 독산고등학교 버스 정류장(18-200) 지선버스 55255616 <br /> 진입로 2 : 뉴서울아파트 버스 정류장(21-509) 마을버스 관악10 <br /> 진입로 3 : 우림시장난곡보건분소 버스 정류장(21-214) 간선버스 506 지선버스 5522B호암5523552456155616 <br /> 진입로 4 : 흥일초등학교앞 버스 정류장(18-740) 지선버스 5621 <br /> 진입로 5~8 : 도보진입 <br /> 진입로 9 : 구민문화체육센터 버스정류장 마을버스 금천08(지하철 1호선 독산역 1번 출구 맞은편에서 탑승 가능) <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.,감로천생태공원~금천전망대~산림감시초소~호압사입구 사거리, 노후시설을 정비하여 누구나 안전하고 편안하게 걸을 수 있도록 조성되어 있다. 특히 만수천 생태연못과 감로천 생태공원 야생초화원 등으로 구성되어 다양한 식생과 많은 볼거리를 가지고 있다. <br /> ※봄이면 야생초화원의 싱그러운 봄 향기를 온몸으로 느낄 수 있다. 금천정 전망대에서 보는 조망도 좋고 금천체육공원에는 숲속 도서관이 있어 책을 빌려 숲속에서 읽거나 도서관에서 여러 프로그램을 체험할 수도 있다.,독산ㆍ삼성산 나들길,생태문화길,강남권,초급
4,동대문구,3.51km,2시간,0,1호선중앙선,,,진입로 1 : 시립대입구 버스 정류장 마을 동대문05 <br />    진입로 2 : 답십리2동한양아파트앞 버스 정류장(06-228) 간선 262 지선 2112 3220 <br />    진입로 3 : 배봉초등학교앞 버스 정류장(06-210) 지선 2015 2233 2311 2230  <br />    진입로 4 : 도보진입 <br /> - 지하철 1호선 중앙선 회기역 2번 출구에서 삼육병원으로 이동 배봉산근린공원입구로 진입(약 800m)<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   , 배봉산 출입구~답십리 근린공원~배봉산근린공원 진입, 동대문구에서 조성한 녹지순환산책로를 접근이 용이하도록 재구성한 코스이다. 따라서 배봉산근린공원이 그 중심을 이룬다. 배봉산근린공원은 산이 부족한 동대문구의 보조 산소통이다. 배봉산은 동대문구 전농동에 있는 표고 110m의 산이다. 배봉산이라는 이름은 조선조 영조때 사도세자가 당쟁에 의해 죽은 뒤 이곳에 장례를 지냈는데 사도세자의 아들인 정조가 평생에 못다한 불효를 속죄한다며 날마다 부친의 묘소를 향해 배례를 하면서 산이름이 배봉산(拜峰山)으로 불려졌다. 서울시립대학교가 위치해 있으며 조선시대 영우원과 휘경원 등 왕실 묘원이 마련되어 있었으며 목마장의 울타리가 지났던 곳이다.<br /> ※배봉산은 작은 동산이라 누구나 쉽게 오를 수 있고 능선도 완만하게 이어져 시민들에게 사랑받는 산책로이다. 높은 산처럼 조망이 좋지는 않지만 우거진 나무들 덕에 가을에는 낙엽을 밟으며 가을을 몸으로 느낄 수 있다.,배봉산 답십리 나들길,생태문화길,강북권,중급
5,서초구,3.31km,1시간 30분,0,2호선3호선7호선9호선,,,진입로1 : 고속터미널역 지하철 3 7 9호선 5번 출구(또는 3번 출구로 나와 육교를 건너면 서리골 공원으로 바로 진입가능) <br />    진입로2 : 방배역 지하철 2호선 4번 출구 <br />    진입로3 : 도보접근 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.            , 서리골공원~몽마르뜨공원~서리풀공원, 고층아파트가 스카이라인을 이룬 이곳에 어찌 이리 아름다운 숲길을 허락했을까. 걷는 이들마다 의아해하고 신기해하고 끝내는 감사해하는 숲길이다. 이 숲길을 품은 산줄기는 원래 하나였으나 차도가 금을 그으며 생이별을 하고 말았다. 얼마 전까지도 찻길을 건너야만 숲길을 이어갈 수 있었으나 2009년 말 서리골공원과 몽마르뜨공원이 누에다리로 이어지고 그와 동시에 몽마르뜨공원이 서리풀공원과 서리풀다리로 이어지며 다시 하나의 식구가 됐다.<br />※도심 숲길을 따라 가족과 함께 청명한 가을 하늘을 보며 가볍게 걷기 좋은 길이다.,서리골 서리풀 나들길,생태문화길,강남권,초급
6,성북구,4.16km,2시간,0,4호선,,,진입로 1 : 한성대입구역 지하철 4호선 5번 출입구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   , 길상사~심우장~수연산방, 600년 도성의 성곽을 사이에 두고 오랜 세월을 견디어낸 성북동 고택과 북촌한옥마을의 고색창연한 길이다. 이 조선 역사의 길에는 법정 스님의 맑은 향이 영원히 가시지 않을 것 같은 길상사를 비롯해 만해 한용운 선생이 말년을 보낸 심우장 시민기금으로 매입하여 보존하고 있는 최순우 옛집 등이 지나는 나그네들을 따스한 손길로 맞아들인다. 지금의 서울을 그윽하게 조망하게 하여 온고지신의 의미를 되새기는 시간을 만든다. <br /> ※옛 보물지도를 따라 걷는듯한 길이다. 성북동의 소박한 옛길은 걷는 이들에게 따스함과 맑고 향기로움을 온 몸 가득 느낄 수 있게 해주는 괜찮은 가을 소풍코스이다.,성북동고택북촌산책길,생태문화길,강북권,중급
7,광진구성동구,2.78km,3시간,0,5호선,,,진입로 1 : 도보진입(동의초등학교) <br /> - 아차산역 지하철 5호선 2번 출구에서 도보로 이동(약 1km)하여 동의초등학교로 갈 수 있다<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   , 만남의 광장~소나무림~아차산성~아차산성 유원지~오동나무 자생지, 서울 한강 북쪽의 아차산은 아끼산 아계산으로도 불린다. 고구려 장군 온달이 신라군과 싸우다 전사했다는 이야기도 전해 내려오며 능선에서는 한강 유역을 한 눈에 내려다 볼 수 있어 예전부터 군사적 요충지로 손꼽힌다. <br />※가을이면 아차산 능선에서 보이는 한강 둔치에 코스모스 물결이 장관이다. 또한 산은 낮아도 주변 일대가 평지라 정상에서 보이는 한강과 어우러진 도심의 야경은 탄성을 자아내기에 충분하다. ,아차산 숲 나들길,생태문화길,강북권,고급
8,서대문구,7km,2시간 ,0,3호선,,,진입로1 : 지하철 3호선 독립문역 5번 출입구 <br /> 진입로2 : 서대문구청서대문보건소 버스정류장(13-156) 일반 567 간선 110A 153 지선 7017 7713 7720 7738 8774 <br /> ※서대문구청 뒤편으로 이동하여 진입할 수 있다<br /> - 지하철 3호선 홍제역 3번 출구 홍제역 버스 정류장(13-125)에서 지선버스 7713 7738탑승 가능<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ,,서대문구 안산 자락길은 7㎞ 길이의 전국 최초의 순환형 무장애 자락길로 장애인 노약자 어린이 등 보행약자는 물론 휠체어 유모차도 쉽게 숲을 즐길 수 있는 숲길이다. 안산 자락길은 구간별로 아까시숲 메타세콰이아숲 가문비나무숲 등 다양한 숲을 즐길 수 있으며 동서남북 방향에 따라 한강 인왕산 북한산 청와대 등 다양한 조망을 즐길 수 있다. 또한 안산 자락길 주변에는 서대문독립공원과 형무소 그리고 조선시대 세종때 만들어진 봉수대 신라 진성여왕 시기에 창건된 봉원사 등 역사적인 명소가 가득하다. 안산 자락길은 안산을 둘러싼 순환형 자락길로 2호선 신촌역과 3호선 홍제역 무악재역 독립문역과 가까워 접근이 매우 용이하다.<br /> ※봄에는 울창한 숲길을 걸을 수 있는 명품 숲길이며 조망이 특히 좋다.,안산 자락길,근교산자락길,강북권,초급
9,마포구,19.29km,4시간30분,0,6호선,,,진입로 1 : 월드컵경기장역 지하철 6호선 3번 출입구 <br />    진입로 2 : 월드컵경기장역 지하철 6호선 2번 출입구 <br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   ,매봉산입구~난지천공원~노을공원~메타세콰이어길~하늘공원~평화의공원,2002 월드컵 함성이 그리운 월드컵공원 주변에는 뜻밖의 볼거리들이 많다. 크게 알려지지 않은 매봉산에서부터 이제는 서울의 명소가 된 하늘공원과 메타세콰이어 산책로까지 멋진 길이 이어진다. 짧지 않은 거리지만 구간이 바뀔 때마다 새로운 풍광이 펼쳐져 지루하지 않고 구간 구간마다 회귀로가 열려 있어 체력에 따른 거리조절도 얼마든지 가능하다.<br />※평지나 다름없는 공원들은 초보자들도 쉽게 걸을 수 있다. 난지천의 생태공원 하늘과 가장 가깝다는 하늘공원 등 다양한 테마의 공원들은 특색 있는 볼거리와 산책길을 제공한다. 가을 노을이 가장 아픔답다는 노을 공원은 해질 무렵 연인들의 데이트 코스와 노을 촬영지로도 유명한 코스이다.,월드컵공원 나들길,생태문화길,강북권,고급
10,종로구,8.12km,2시간,0,1호선3호선5호선,,,진입로 1 : 종로3가역 지하철 1 3 5호선 1번 출입구 <br />    진입로 2 : 경복궁역 지하철 3호선 5번 출입구 <br />    진입로 3 : 안국역 지하철 3호선 2번 출입구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.           , 인사동 네거리~경복궁매표소~청와대분수앞~북촌한옥마을길,서울 도심에서 맛볼 수 있는 역사와 문화가 고르게 어우러진 코스이다. 경복궁 내부의 여러 전각을 둘러보고 고풍스런 담장길을 따라 걷다 푸른 기와가 상징처럼 알려진 청와대의 앞길을 걸어 삼청동 카페길에 다다른다. 이후 서울성곽까지도 갈 수 있는 삼청공원을 산책한 후 서울에서 가장 한옥이 잘 보존되어 있다는 북촌한옥마을의 고즈넉한 길을 밟는다. 서울 도심에 이런 역사와 문화가 깃든 길이 있다는 것이 내내 감사할 따름이다.,인사동삼청동 나들길,생태문화길,강북권,중급
