place,x,y,region
남산공원,37.5509895,126.9908991,중구
와룡묘,37.5548271,126.9866026,중구
덕수궁,37.5658049,126.9751461,중구
서울로7017 여행자터미널,37.5565067,126.9737554,중구
동대문역사관 상설전시실 재개관,37.5671708,127.0121073,중구
명동관광정보센터,37.5650699,126.9850184,중구
명동성당,37.563177,126.9873604,중구
문화역서울 284,37.5558351,126.971732,중구
서울도서관 (옛 서울시청사),37.5662538,126.9779023,중구
서울도시건축전시관,37.5668661,126.9766639,중구
서울시립미술관 (서소문본관),37.5642629,126.9746757,중구
스마트서울 전시관,37.5666564,126.9778277,중구
명동거리,37.568058597,126.9788194313,중구
남대문로/낚시용품거리,37.5580500713,126.9774324475,중구
무교동음식/문화의거리,37.568058597,126.9788194313,중구
정동길,37.5641304492,126.9799342986,중구
중앙시장/가구단지,37.568610138,127.0204336493,중구
돌담길,37.5641304492,126.9799342986,중구
충무로애견거리,37.5613498068,126.9959254377,중구
신당동/떡볶이골목,37.557255013,127.013160116,중구
인현시장/먹거리,37.5613498068,126.9959254377,중구
콴챈루거리,37.568058597,126.9788194313,중구
페인트도배/전문거리,37.5664098491,126.9976456492,중구
중앙아시아촌,37.5613498068,126.9959254377,중구
을지한빛거리,37.568058597,126.9788194313,중구
장충단길,37.5613859155,127.0005749663,중구
초동길,37.5664098491,126.9976456492,중구
황학동/도깨비시장,37.568610138,127.0204336493,중구
남대문갈치조림골목,37.5580500713,126.9774324475,중구
청계천/헌책방거리,37.5613498068,126.9959254377,중구
남산공원북측/순환도로,37.5613498068,126.9959254377,중구
왕십리곱창골목,37.568610138,127.0204336493,중구
기억의 터(일본군 위안부),37.558944,126.9902118,중구
SK텔레콤 New ICT체험관 T.um,37.5664516,126.9850799,중구
국립 정동극장,37.5659672,126.9728593,중구
서울 애니메이션센터,37.5597724,126.9830438,중구
서울광장 스케이트장,37.5659448,126.9785151,중구
3.1독립운동기념탑,37.5527571,127.001864,중구
유관순동상,37.5550089,127.0032729,중구
성재이시영선생동상,37.5549784,126.9787916,중구
대한성공회 서울주교좌성당,37.5671518,126.9757907,중구
정동전망대,37.5658049,126.9751461,중구
광희문,37.5643603,127.0099766,중구
동대문역사문화공원,37.565682,127.008953,중구
서울도시건축전시관,37.5668661,126.9766639,중구
서울 약현성당,37.5591528,126.9674472,중구
명동 남대문 북창동 다동무교동 관광특구,37.5668175,126.9816917,중구
손기정기념관,37.5556652,126.9645497,중구
상동교회,37.5608462,126.9790152,중구
서울천년타임캡슐광장,37.5586777,126.9939921,중구
목멱산봉수대터,37.5520091,126.9874762,중구
서울 구 러시아공사관,37.567963,126.971437,중구
서울역,37.555946,126.972317,중구
덕수궁,37.5658049,126.9751461,중구
어린이 감각놀이터 디키디키,37.5667797,127.0096066,중구
동대문디자인플라자(DDP),37.565402,127.0099146,중구
서울남산국악당,37.5588388,126.9940727,중구
장충체육관,37.5581719,127.0067176,중구
명동난타극장,37.5634525,126.9837209,중구
우표박물관 (구.우표문화누리),37.5615577,126.9821367,중구
명동예술극장,37.5639955,126.9842193,중구
문화역 서울 284,37.5558351,126.971732,중구
신당동 떡볶이 골목,37.5633641,127.0150651,중구
장충동 족발 골목,37.5602232,127.0060337,중구
남대문 갈치조림골목,37.55984309999999,126.977138,중구
숭례문,37.559378,126.974734,중구
연필로 명상하기,37.5581271,126.9862392,중구
종이나라박물관,37.5596195,127.0061614,중구
한국의집,37.5602041,126.9947198,중구
"식민지 관문에서 복합문화공간으로, 문화역서울 284",37.5558351,126.971732,중구
이재명 의거지,37.5643333,126.9866682,중구
정동교회 이필주 사택 터,37.5654378,126.972357,중구
주한영국문화원,37.5635109,126.9725133,중구
서울청소년수련관,37.5674238,126.9905238,중구
호텔롯데 휘트니스클럽,37.5653,126.980979,중구
문화일보홀,37.567088,126.96859,중구
서울도서관,37.5662538,126.9779023,중구
충무아트센터,37.5660165,127.014653,중구
서울특별시교육청 과학전시관 (남산분관),37.5545994,126.9806853,중구
국립극장,37.5525561,126.9996092,중구
명보아트홀,37.5646936,126.9931903,중구
동국대학교 박물관,37.557477,127.000325,중구
조선일보미술관,37.5678124,126.9752475,중구
서울 명동성당,37.563177,126.9873604,중구
서울광장,37.5655906,126.9780251,중구
장충단공원,37.5577308,127.0043005,중구
청계천,37.5691015,126.9786692,중구
백범김구선생상(백범 광장),37.5548418,126.9792475,중구
국립현대미술관(덕수궁관),37.5658705,126.9750079,중구
남산예술센터,37.5589457,126.988437,중구
안중근의사기념관,37.55384069999999,126.9805067,중구
서울 정동교회,37.5654378,126.972357,중구
서울시립미술관(서소문본관),37.5642629,126.9746757,중구
덕수궁 대한문,37.56491010000001,126.9768366,중구
덕수궁 돌담길,37.5648648,126.9754485,중구
서울로 7017,37.5565067,126.9737554,중구
남산공원(서울),37.5509895,126.9908991,중구
남산 케이블카,37.5565908,126.9839744,중구
명동관광정보센터,37.5650699,126.9850184,중구
남산골한옥마을,37.559315,126.994477,중구
서울 중구문화원,37.5675348,126.9862187,중구
세종호텔 세종갤러리,37.5613363,126.9879273,중구
신한갤러리(광화문),37.56859010000001,126.9763307,중구
롯데호텔 실내수영장,37.56545,126.980391,중구
초전섬유ㆍ퀼트박물관,37.5581193,126.9842192,중구
배재학당역사박물관,37.5639564,126.9725928,중구
중명전,37.5665843,126.9725421,중구
유관순기념관(서울),37.564396,126.9703037,중구
삼청동오위장김춘영가옥,37.5602581,126.9944959,중구
관훈동 민씨 가옥 (구 부마도위박영효가옥),37.5591972,126.9947548,중구
훈련원공원,37.5673407,127.0037725,중구
명동사격장,37.5618939,126.9864389,중구
몽인아트스페이스,37.5540951,127.0078798,중구
갤러리 스클로,37.5562171,127.013439,중구
해풍부원군윤택영댁재실,37.5603136,126.9945237,중구
환구단,37.5650657,126.9796883,중구
황학동 벼룩시장 (도깨비시장 / 만물시장),37.5692041,127.0178144,중구
 남산도서관앞,37.55292499999999,126.981414,용산구
N서울타워,37.5511694,126.9882266,용산구
국립중앙박물관,37.5238506,126.9804702,용산구
남산서울타워 ,37.5511694,126.9882266,용산구
삼성미술관 리움 ,37.5383951,126.999265,용산구
전쟁기념관,37.5366059,126.9771397,용산구
이태원거리,37.5389940121,126.991703953,용산구
꼼데가르송길,37.5353973609,127.0059286959,용산구
이태원솔마루,37.5353973609,127.0059286959,용산구
해맞이길,37.5353973609,127.0059286959,용산구
용산/감자탕거리,37.5319454062,126.9730641438,용산구
경리단길,37.5389940121,126.991703953,용산구
녹사평역 지하예술정원,37.5347281,126.986686,용산구
하이브 인사이트,37.5242958,126.963759,용산구
이태원 우사단길,37.5341356,127.0039628,용산구
용산도시기억전시,37.5264385,126.9665844,용산구
남산서울타워 한복문화체험관,37.5511271,126.9883279,용산구
노들섬,37.5177627,126.9596671,용산구
충주 정토사지 홍법국사탑,37.5246635,126.9777271,용산구
숙명여자대학교 정영양자수박물관(서울),37.5448259,126.9641062,용산구
VRZONE 용산 아이파크몰점,37.5288539,126.9640447,용산구
남산서울타워,37.5511694,126.9882266,용산구
국립중앙박물관,37.5238506,126.9804702,용산구
이촌한강공원,37.5159594,126.9758341,용산구
용산공예관,37.5389612,127.0020591,용산구
국립한글박물관,37.5215491,126.9804879,용산구
드래곤힐스파(용산),37.5271678,126.9641384,용산구
서울 삼각지 대구탕 골목,37.5346553,126.9742088,용산구
전쟁기념관,37.5366059,126.9771397,용산구
블루스퀘어,37.5408808,127.0024461,용산구
크라운해태 키즈뮤지엄,37.5406998,126.9735811,용산구
"지구 최후의 분단국 대한민국의 지금을 보다, 용산 전쟁기념관",37.5366059,126.9771397,용산구
식민지역사박물관,37.5456751,126.9667799,용산구
울라스튜디오,37.5244416,126.9627154,용산구
주한독일문화원,37.5507604,126.982834,용산구
서울 효창공원,37.5450482,126.9603142,용산구
주한이탈리아문화원,37.53734439999999,127.0053566,용산구
서울특별시교육청 남산도서관,37.55292499999999,126.981414,용산구
서울특별시교육청 용산도서관,37.551912,126.9800398,용산구
국립중앙박물관 어린이박물관,37.5239147,126.9787571,용산구
숙명여자대학교 박물관,37.54480770000001,126.9640801,용산구
용산문화원,37.5333995,126.9521397,용산구
용산가족공원,37.5216852,126.9839703,용산구
새남터기념성당,37.5248911,126.9568082,용산구
남산 야외식물원,37.54242989999999,126.9962732,용산구
백범김구기념관,37.5442482,126.9591773,용산구
삼성미술관 리움,37.5383951,126.999265,용산구
용산초등학교 실내수영장,37.5353163,126.9723321,용산구
해밀톤호텔 수영장(실외),37.5347906,126.9935937,용산구
서빙고동 부군당,37.520273,126.9931439,용산구
당고개순교성지,37.5350479,126.9666783,용산구
서울 용산신학교와 원효로 예수성심성당,37.5341025,126.9542291,용산구
용산성당,37.5368713,126.952945,용산구
전통염료식물원,37.5244092,126.9816053,용산구
백해영갤러리,37.536462,126.994864,용산구
그랜드하얏트 서울 아이스링크,37.5394515,126.9968018,용산구
장안평자동차/용품거리,37.5536935109,127.0612932517,성동구
30년전통/마장동먹자골목,37.5670083299,127.040689845,성동구
로데오거리,37.5536935109,127.0612932517,성동구
