"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"서울특별시 강북구 미아동 159-6",1,서울특별시 강북구 덕릉로28길 9-21,서울특별시 강북구 미아동 159-6,37.63445932,127.0246223,2000,전용주,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 159-30",1,서울특별시 강북구 덕릉로28길 9-12,서울특별시 강북구 미아동 159-30,37.63414545,127.0248946,2000,건축물,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 159-42",1,서울특별시 강북구 도봉로78길 15-9,서울특별시 강북구 미아동 159-42,37.63408185,127.0244093,2000,건축물,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 159-31",1,서울특별시 강북구 도봉로78길 21-9,서울특별시 강북구 미아동 159-31,37.63414306,127.0246772,2000,전용주,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 160-25",1,서울특별시 강북구 덕릉로28길 30,서울특별시 강북구 미아동 160-25,37.63332841,127.0241186,2000,건축물,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 160-30",1,서울특별시 강북구 도봉로76길 3,서울특별시 강북구 미아동 160-30,37.63290804,127.023961,2000,한전주,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 160-43",1,서울특별시 강북구 도봉로 284-3,서울특별시 강북구 미아동 160-43,37.63394206,127.0237591,2000,건축물,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 159-48",1,서울특별시 강북구 덕릉로28길 11,서울특별시 강북구 미아동 159-48,37.63410774,127.0242388,2000,건축물,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 160-41",1,서울특별시 강북구 도봉로78길 7,서울특별시 강북구 미아동 160-41,37.63377983,127.0239805,2000,한전주,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 160-46",1,서울특별시 강북구 도봉로 284-1,서울특별시 강북구 미아동 160-46,37.63384459,127.0236691,2000,한전주,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 159-36",1,서울특별시 강북구 도봉로78길 19,서울특별시 강북구 미아동 159-36,37.63377151,127.0246094,2000,한전주,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 159-42",1,서울특별시 강북구 도봉로78길 15-9,서울특별시 강북구 미아동 159-42,37.63408185,127.0244093,2000,건축물,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 159-35",1,서울특별시 강북구 도봉로78길 21,서울특별시 강북구 미아동 159-35,37.63379581,127.0247319,2000,한전주,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 159-73",1,서울특별시 강북구 도봉로78길 23,서울특별시 강북구 미아동 159-73,37.63381217,127.0248856,2000,한전주,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 159-29",0,서울특별시 강북구 도봉로78길 21-18,서울특별시 강북구 미아동 159-29,37.63404878,127.0248461,2000,한전주,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 159-28",1,서울특별시 강북구 덕릉로28길 9-22,서울특별시 강북구 미아동 159-28,37.63405525,127.0249448,2000,건축물,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 159-28",1,서울특별시 강북구 덕릉로28길 9-22,서울특별시 강북구 미아동 159-28,37.63405525,127.0249448,2000,한전주,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 159-70",1,서울특별시 강북구 도봉로78길 21-10,서울특별시 강북구 미아동 159-70,37.63391622,127.024944,2000,한전주,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 159-74",1,서울특별시 강북구 도봉로78길 25,서울특별시 강북구 미아동 159-74,37.63381945,127.0250022,2000,전용주,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 159-12",1,서울특별시 강북구 덕릉로30길 12,서울특별시 강북구 미아동 159-12,37.63418881,127.0252068,2000,건축물,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 159-30",1,서울특별시 강북구 덕릉로28길 9-12,서울특별시 강북구 미아동 159-30,37.63414545,127.0248946,2000,건축물,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 159-7",1,서울특별시 강북구 덕릉로28길 9-11,서울특별시 강북구 미아동 159-7,37.63440431,127.0244029,2000,건축물,02-901-5863,서울특별시 강북구청,2020-09-25
"서울특별시 강북구 미아동 159-10",1,서울특별시 강북구 덕릉로 94,서울특별시 강북구 미아동 159-10,37.63457544,127.0242276,2000,건축물,02-901-5863,서울특별시 강북구청,2020-09-25
