"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"광장동001",1,서울특별시 광진구 아차산로78길72학산코스모스텔,서울특별시 광진구 광장동 111,37.5514904,127.1106463,,전용주,02-450-7873,광진구청,2021-07-05
"광장동002",1,서울특별시 광진구 아차산로78길67,서울특별시 광진구 광장동 104,37.55182417,127.1106976,,건축물,02-450-7873,광진구청,2021-07-05
"광장동003",1,서울특별시 광진구 아차산로78길67,서울특별시 광진구 광장동 141-3,37.5517629,127.1105653,,전용주,02-450-7873,광진구청,2021-07-05
"광장동006",1,서울특별시 광진구 아차산로78길53,서울특별시 광진구 광장동 107,37.55152617,127.1097766,,전용주,02-450-7873,광진구청,2021-07-05
"광장동007",1,서울특별시 광진구 아차산로78길56,서울특별시 광진구 광장동 108,37.55142717,127.1099326,,전용주,02-450-7873,광진구청,2021-07-05
"광장동008",1,서울특별시 광진구 아차산로78길56,서울특별시 광진구 광장동 108,37.55128517,127.1101426,,전용주,02-450-7873,광진구청,2021-07-05
"광장동009",1,서울특별시 광진구 아차산로78길56,서울특별시 광진구 광장동 108,37.55131917,127.1098466,,전용주,02-450-7873,광진구청,2021-07-05
"광장동010",1,서울특별시 광진구 아차산로78길44,서울특별시 광진구 광장동 114,37.55123217,127.1097516,,전용주,02-450-7873,광진구청,2021-07-05
"광장동011",1,서울특별시 광진구 아차산로78길43,서울특별시 광진구 광장동 118,37.55121217,127.1095476,,전용주,02-450-7873,광진구청,2021-07-05
"광장동012",1,서울특별시 광진구 아차산로78길44,서울특별시 광진구 광장동 114,37.55105417,127.1096686,,전용주,02-450-7873,광진구청,2021-07-05
"광장동013",1,서울특별시 광진구 아차산로78길44,서울특별시 광진구 광장동 114,37.55090117,127.1095956,,전용주,02-450-7873,광진구청,2021-07-05
"광장동014",1,서울특별시 광진구 아차산로78길33,서울특별시 광진구 광장동 120,37.55077817,127.1093756,,전용주,02-450-7873,광진구청,2021-07-05
"광장동015",1,서울특별시 광진구 아차산로78길44,서울특별시 광진구 광장동 114,37.55071317,127.1095946,,전용주,02-450-7873,광진구청,2021-07-05
"광장동016",1,서울특별시 광진구 아차산로78길44,서울특별시 광진구 광장동 114,37.55062817,127.1097206,,전용주,02-450-7873,광진구청,2021-07-05
