"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"월계1동 493-16 주변",1,서울특별시 노원구 화랑로43길 2-12,서울특별시 노원구 월계동 493-16,37.6147041518,127.0632053395,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 493-20 주변",1,서울특별시 노원구 화랑로43길 2-2,서울특별시 노원구 월계동 493-20,37.6145708080,127.0632006961,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 493-8 주변",1,서울특별시 노원구 화랑로43길 2-32,서울특별시 노원구 월계동 493-8,37.6146430299,127.0629334566,,통신주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 479-39 주변",1,서울특별시 노원구 화랑로43길 4,서울특별시 노원구 월계동 479-39,37.6144772143,127.0629967440,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 493-10 주변",1,서울특별시 노원구 화랑로43길 2-26,서울특별시 노원구 월계동 493-10,37.6148088044,127.0629471879,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 493-19 주변",1,서울특별시 노원구 화랑로43길 2-34,서울특별시 노원구 월계동 493-19,37.6146430927,127.0628156631,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 493-4 주변",1,서울특별시 노원구 화랑로43길 2-15,서울특별시 노원구 월계동 493-4,37.6147945357,127.0626708136,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 494-7 주변",1,서울특별시 노원구 화랑로43길 4-10,서울특별시 노원구 월계동 494-7,37.6144954678,127.0625572998,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 479-38 주변",1,서울특별시 노원구 화랑로43길 4-7,서울특별시 노원구 월계동 479-38,37.6143981419,127.0625934623,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 494-2 주변",1,서울특별시 노원구 화랑로43가길 7,서울특별시 노원구 월계동 494-2,37.6146288524,127.0624849232,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 493-22 주변",1,서울특별시 노원구 화랑로43가길 13-1,서울특별시 노원구 월계동 493-22,37.6148883178,127.0625213846,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
