"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"당산1동-1",1,서울특별시 영등포구 영신로19길30-4,,37.5135376901,126.9047025363,,한전주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-10",1,서울특별시 영등포구 영신로19길28,,37.5136484870,126.9050051913,,건축물,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-100",1,서울특별시 영등포구 영신로19길17,,37.5138338679,126.9059615315,,한전주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-100-1",2,서울특별시 영등포구 영신로19길17,,37.5138338679,126.9059615315,,한전주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-102",1,서울특별시 영등포구 영신로19길17,,37.5138338679,126.9059615315,,한전주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-104",1,서울특별시 영등포구 영신로19길13,,37.5138762828,126.9065007892,,한전주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-104-1",1,서울특별시 영등포구 영신로19길13,,37.5138762828,126.9065007892,,건축물,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-105",2,서울특별시 영등포구 영신로9나길17,,37.5136505581,126.9056783074,,한전주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-106",2,서울특별시 영등포구 영신로9마길4-1,,37.5132656340,126.9058849906,,한전주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-107",1,서울특별시 영등포구 영신로9마길4,,37.5131471544,126.9057749708,,한전주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-108",1,서울특별시 영등포구 영신로9마길2-5,,37.5130398262,126.9059776844,,한전주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-109",1,서울특별시 영등포구 영신로9마길2-7,,37.5129138630,126.9059741098,,건축물,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-11",1,서울특별시 영등포구 영신로9마길2-7,,37.5129138630,126.9059741098,,건축물,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-110",2,서울특별시 영등포구 영신로9라길6,,37.5128401828,126.9058884657,,한전주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-111",1,서울특별시 영등포구 영신로9라길6-5,,37.5128409131,126.9061268984,,건축물,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-112",1,서울특별시 영등포구 영신로90라길6-9,,,,,한전주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-113",1,서울특별시 영등포구 영신로9나길9-4,,37.5130430256,126.9062621502,,전용주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-114",1,서울특별시 영등포구 영신로9나길9-1,,37.5131047033,126.9064376187,,건축물,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-115",1,서울특별시 영등포구 영신로9라길6-14,,37.5125629896,126.9065133990,,전용주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-116",1,서울특별시 영등포구 영신로9라길6-18,,37.5125316241,126.9067278918,,전용주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-117",1,서울특별시 영등포구 영신로9길24,,37.5124548126,126.9064419364,,한전주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-118",1,서울특별시 영등포구 영신로9마길2,,37.5129689265,126.9057632053,,한전주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-119",1,서울특별시 영등포구 영신로9라길12,,37.5131328574,126.9055856436,,한전주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-119-1",1,서울특별시 영등포구 영신로9라길16,,37.5133591292,126.9053975964,,한전주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-12",1,서울특별시 영등포구 영신로9라길16,,37.5133591292,126.9053975964,,한전주,02-2670-3838,서울특별시 영등포구,2021-04-16
"당산1동-120",1,서울특별시 영등포구 영신로19길23,,37.5135543074,126.9054234785,,한전주,02-2670-3838,서울특별시 영등포구,2021-04-16
