"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"녹번동",1,진흥로68-17,녹번동 162-17,37.603316,126.921923,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로353,녹번동 176-1,37.602715,126.922271,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로9길30,녹번동 176-28,37.602776,,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로9길27,녹번동 177-2,37.602575,126.921661,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로6가길8,녹번동 152-9,37.606186,126.924407,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로9길15,녹번동 177-15,37.602103,126.921283,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로9길20,녹번동 176-15,37.601909,126.921739,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로9길22-13,녹번동 176-9,37.601694,126.921867,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로9길22-12,녹번동 176-16,37.601818,126.921718,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로11길13-1,녹번동 160-24,37.602039,126.923198,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로11길13-3,녹번동 160-21,37.602056,126.923028,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로11길21,녹번동 160-9,37.602634,126.923235,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,통일로58길668-3,녹번동 16-2,,126.934053,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로11길23,녹번동 160-1,37.602887,126.923254,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,응암로356,녹번동 160-3,37.602649,126.922883,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로11길 26-4,녹번동 157-33,37.602718,126.923539,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로13길25-19,녹번동 157-18,37.603038,126.924044,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,응암로348,녹번동 160-32,37.602142,126.922676,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로13길17-9,녹번동 156-15,37.602502,126.924539,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로13길25-9,녹번동 157-15,37.603058,126.924316,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로13길25,녹번동 157-1,37.603104,126.924428,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로13길26,녹번동 155-4,37.603179,126.924665,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로13길23,녹번동 157-2,37.603052,126.924554,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로13길20-1,녹번동 155-9,37.602884,126.924998,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로13길18,녹번동 155-11,37.602752,126.925249,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로13길17-7,녹번동 156-16,37.602404,126.924642,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,통일로689-13,녹번동 117-56,37.607113,126.931279,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로11길18-19,녹번동 157-23,37.602625,126.924243,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로11길18-10,녹번동 156-24,37.602416,126.924076,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로11길18-15,녹번동 157-25,37.602759,126.924082,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로11길18-8,녹번동 156-32,37.602369,126.923805,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로11길18,녹번동 156-51,37.602276,126.923466,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로11길14-1,녹번동 156-35,37.602052,126.923583,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로11길12-11,녹번동 156-39,37.601928,126.923834,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로29-5,녹번동 155-2,37.603307,,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로23,녹번동 155-30,37.603131,126.925357,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로17-1,녹번동 155-41,37.602583,126.925546,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로21,녹번동 155-13,,126.925495,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,통일로61길3-1,녹번동 112-2,37.606611,126.932532,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로13길12-7,녹번동 155-14,37.602555,126.925399,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로13길32,녹번동 154-25,37.603671,,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로13길29-2,녹번동 158-4,37.603488,126.923947,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로13길 31-3,녹번동 158-36,37.603648,126.923809,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로13길34,녹번동 154-15,37.603938,126.923986,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,녹번로9길3,녹번동 120-22,37.606768,126.930933,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로41-13,녹번동 154-5,37.604335,126.923992,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로13길30,녹번동 154-32,37.603572,126.924342,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로13길35,녹번동 158-1,37.603962,126.923657,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,녹번로6길12-6,녹번동 29-39,,126.932051,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로11길30,녹번동 158-14,,126.923519,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,녹번로7길 15,녹번동 108-6,37.606667,126.929813,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로11길25-14,녹번동 159-28,,126.923023,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,은평로11길366,녹번동 279-1,37.603776,,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로 376,녹번동 153-21,37.604676,126.923817,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로 376,녹번동 153-21,37.604676,126.923817,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로4길25,녹번동 151-7,37.606175,126.926219,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,통일로62다길7,녹번동 4-554,37.606386,126.936601,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로4길3,녹번동 81-10,37.604435,126.925055,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로4길3-5,녹번동 81-4,,126.924871,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로4길3-5,녹번동 81-4,,126.924871,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로4길7-4,녹번동 152-36,37.604978,126.925296,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로48-9,녹번동 152-76,37.605502,126.924564,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로48-7,녹번동 80-23,37.605402,126.924395,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로54-5,녹번동 80-12,37.605813,126.924016,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로60,녹번동 146-8,37.606052,126.923548,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로6가길2-2,녹번동 152-10,37.606021,126.924126,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로6가길2-9,녹번동 152-63,37.605836,126.924536,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로6가길2-6,녹번동 152-73,37.605851,,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로4길27,녹번동 151-64,37.606239,126.926275,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로6가길2-5,녹번동 152-62,37.605943,126.924444,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로6가길7-24,녹번동 152-71,37.605719,126.924617,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로4길19-1,녹번동 151-56,37.605765,126.925727,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로6가길16-4,녹번동 151-84,37.605772,126.925443,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로6가길6-12,녹번동 152-93,37.605458,126.924587,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로6가길14-3,녹번동 151-91,37.605979,126.925474,,,02-351-7944,서울특별시 은평구청,2020-07-31
"녹번동",1,서오릉로6가길6-9,녹번동 152-86,37.605895,126.925113,,,02-351-7944,서울특별시 은평구청,2020-07-31
