"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
01-옥인1길1,1,서울특별시 종로구 옥인1길 1,서울특별시 종로구 옥인동 145-2,37.580572,126.9679023,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인1길1-가,1,서울특별시 종로구 옥인1길 1,서울특별시 종로구 옥인동 146,37.580571,126.967942,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인1길10,1,서울특별시 종로구 옥인1길 10,서울특별시 종로구 옥인동 119-2,37.580956,126.967815,,전용주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인1길11,1,서울특별시 종로구 옥인1길 11,서울특별시 종로구 옥인동 145-2,37.581024,126.9677029,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인1길12-1,1,서울특별시 종로구 옥인1길 12-1,서울특별시 종로구 옥인동 128-1,37.581044,126.967863,,건축물,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인1길17,1,서울특별시 종로구 옥인1길 17,서울특별시 종로구 옥인동 60-9,37.581211,126.967413,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인1길19-3,1,서울특별시 종로구 옥인1길 19-3,서울특별시 종로구 옥인동 137-2,37.581177,126.9672998,,건축물,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인1길2,1,서울특별시 종로구 옥인1길 2,서울특별시 종로구 옥인동 145-2,37.580717,126.967906,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인1길23,1,서울특별시 종로구 옥인1길 23,서울특별시 종로구 옥인동 165-2,37.581345,126.9672997,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인1길24,1,서울특별시 종로구 옥인1길 24,서울특별시 종로구 옥인동 160-1,37.581393,126.967131,,건축물,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인1길28,1,서울특별시 종로구 옥인1길 28,서울특별시 종로구 옥인동 168-5,37.581291,126.967029,,건축물,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인1길31,1,서울특별시 종로구 옥인1길 31,서울특별시 종로구 옥인동 160-1,37.581182,126.9668786,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인1길31-가,1,서울특별시 종로구 옥인1길 31,서울특별시 종로구 옥인동 160-1,37.581166,126.966837,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인1길34,1,서울특별시 종로구 옥인1길 34,서울특별시 종로구 옥인동 168-2,37.581196,126.966718,,건축물,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인2길10,1,서울특별시 종로구 옥인2길 10,서울특별시 종로구 누상동 67-2,37.580597,126.966798,,건축물,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인2길15,1,서울특별시 종로구 옥인2길 15,서울특별시 종로구 누상동 85-1,37.580326,126.966874,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인2길15-가,1,서울특별시 종로구 옥인2길 15,서울특별시 종로구 누상동 84,37.580315,126.966882,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인2길17-4,1,서울특별시 종로구 옥인2길 17-4,서울특별시 종로구 누상동 83-4,37.580252,126.967067,,건축물,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인2길2,1,서울특별시 종로구 옥인2길 2,서울특별시 종로구 누상동 52,37.580928,126.966913,,건축물,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인2길6,1,서울특별시 종로구 옥인2길 6,서울특별시 종로구 누상동 31-7,37.580819,126.966916,,건축물,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인3길10,1,서울특별시 종로구 옥인3길 10,서울특별시 종로구 누상동 31-7,37.580709,126.966228,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인3길14,1,서울특별시 종로구 옥인3길 14,서울특별시 종로구 누상동 29-1,37.580697,126.965994,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인3길16,1,서울특별시 종로구 옥인3길 16,서울특별시 종로구 누상동 29-3,37.580683,126.965849,,통신주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인3길18-3,1,서울특별시 종로구 옥인3길 18-3,서울특별시 종로구 누상동 29-5,37.580828,126.965772,,건축물,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인3길2-1,1,서울특별시 종로구 옥인3길 2-1,서울특별시 종로구 누상동 20-4,37.5809724,126.9663308,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인3길2-3,1,서울특별시 종로구 옥인3길 2-3,서울특별시 종로구 누상동 17,37.581007,126.966296,,건축물,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인3길2-7,1,서울특별시 종로구 옥인3길 2-7,서울특별시 종로구 누상동 20-1,37.581024,126.966027,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인3길22,1,서울특별시 종로구 옥인3길 22,서울특별시 종로구 누상동 29-16,37.580514,126.965676,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인3길24,1,서울특별시 종로구 옥인3길 24,서울특별시 종로구 누상동 166-35,37.580345,126.965676,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인3길32-1,1,서울특별시 종로구 옥인3길 32-1,서울특별시 종로구 누상동 166-3,37.579949,126.965684,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인3길32-10,1,서울특별시 종로구 옥인3길 32-10,서울특별시 종로구 누상동 166-83,37.579588,126.965594,,건축물,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인3길32-6,1,서울특별시 종로구 옥인3길 32-6,서울특별시 종로구 누상동 166-83,37.579758,126.965574,,건축물,02-2148-3194,종로구청 도로과,2021-07-08
01-옥인3길39,1,서울특별시 종로구 옥인3길 39,서울특별시 종로구 누상동 27-10,37.579639,126.965811,,한전주,02-2148-3194,종로구청 도로과,2021-07-08
