"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
1-1-2,1,서울특별시 중구 세종대로18길 16,서울특별시 중구 북창동 35,37.563500,126.978000,2015,전용주,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-3,1,서울특별시 중구 세종대로18길 16,서울특별시 중구 북창동 35,37.563500,126.978000,2015,전용주,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-7,2,서울특별시 중구 세종대로14길 17-5,서울특별시 중구 북창동 18-7,37.563100,126.977700,2020,건축물,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-8,1,서울특별시 중구 세종대로14길 17,서울특별시 중구 북창동 18-12,37.562900,126.977700,2018,건축물,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-9,1,서울특별시 중구 세종대로14길 17,서울특별시 중구 북창동 18-12,37.562900,126.977700,2018,건축물,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-12,1,서울특별시 중구 남대문로5길 39,서울특별시 중구 소공동 117,37.563100,126.978600,2015,전용주,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-13,1,서울특별시 중구 세종대로16길 27,서울특별시 중구 북창동 11-3,37.563400,126.978400,2015,한전주,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-14,1,서울특별시 중구 남대문로5길 49,서울특별시 중구 북창동 5-2,37.563600,126.978700,2015,건축물,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-15,1,서울특별시 중구 세종대로18길 24,서울특별시 중구 북창동 14-5,37.563600,126.978500,2015,건축물,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-17,1,서울특별시 중구 세종대로18길 32,서울특별시 중구 소공동 112-5,37.563700,126.978900,2015,전용주,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-18,1,서울특별시 중구 남대문로5길 39,서울특별시 중구 소공동 117,37.563100,126.978600,2015,전용주,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-20,1,서울특별시 중구 남대문로7길 11-10,서울특별시 중구 소공동 24,37.563700,126.980900,2015,건축물,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-21,1,서울특별시 중구 남대문로7길 13,서울특별시 중구 소공동 25,37.563800,126.981100,2015,건축물,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-23,1,서울특별시 중구 세종대로16길 1,서울특별시 중구 태평로2가 58-9,37.563500,126.977100,2015,건축물,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-24,1,서울특별시 중구 남대문로1길 49,서울특별시 중구 태평로2가 68-3,37.563300,126.977300,2015,건축물,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-25,1,서울특별시 중구 남대문로5길 47,서울특별시 중구 북창동 10-4,37.563400,126.978700,2015,전용주,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-26,1,서울특별시 중구 남대문로5길 39,서울특별시 중구 소공동 117,37.563100,126.978600,2015,전용주,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-27,1,서울특별시 중구 남대문로5길 33,서울특별시 중구 소공동 112-35,37.562900,126.978800,2015,건축물,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-28,1,서울특별시 중구 세종대로 80-1,서울특별시 중구 태평로2가 68-8,37.563200,126.977100,2016,건축물,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-29,1,서울특별시 중구 세종대로16길 23,서울특별시 중구 북창동 11-6,37.563400,126.978300,2018,건축물,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-30,1,서울특별시 중구 세종대로14길 27-4,서울특별시 중구 북창동 12-3,37.563000,126.978300,2018,전용주,02-3396-6152,중구청 도로시설과,2021-03-29
1-1-31,1,서울특별시 중구 세종대로14길 29,서울특별시 중구 북창동 12-4,37.562900,126.978300,2019,건축물,02-3396-6152,중구청 도로시설과,2021-03-29
1-2-7,1,서울특별시 중구 세종대로 66,서울특별시 중구 태평로2가 70-2,37.562100,126.976700,2015,한전주,02-3396-6152,중구청 도로시설과,2021-03-29
1-2-8,1,서울특별시 중구 세종대로 66-9,서울특별시 중구 북창동 20-6,37.562300,126.977000,2015,한전주,02-3396-6152,중구청 도로시설과,2021-03-29
1-2-9,1,서울특별시 중구 세종대로 72,서울특별시 중구 태평로2가 69-7,37.562500,126.976800,2015,한전주,02-3396-6152,중구청 도로시설과,2021-03-29
1-2-10,1,서울특별시 중구 남대문로1길 33,서울특별시 중구 북창동 19-4,37.562600,126.977200,2015,한전주,02-3396-6152,중구청 도로시설과,2021-03-29
1-2-11,1,서울특별시 중구 세종대로14길 26-4,서울특별시 중구 북창동 86-9,37.562600,126.978200,2015,한전주,02-3396-6152,중구청 도로시설과,2021-03-29
1-2-13,1,서울특별시 중구 세종대로14길 26,서울특별시 중구 북창동 82,37.562700,126.978100,2007,전용주,02-3396-6152,중구청 도로시설과,2021-03-29
1-2-14,1,서울특별시 중구 세종대로14길 22-4,서울특별시 중구 북창동 66,37.562700,126.977800,2015,건축물,02-3396-6152,중구청 도로시설과,2021-03-29
1-2-15,1,서울특별시 중구 세종대로14길 22-10,서울특별시 중구 북창동 74,37.562500,126.977900,2019,건축물,02-3396-6152,중구청 도로시설과,2021-03-29
1-2-17,1,서울특별시 중구 남대문로1길 30-5,서울특별시 중구 북창동 72,37.562500,126.977700,2015,건축물,02-3396-6152,중구청 도로시설과,2021-03-29
1-2-19,1,서울특별시 중구 남대문로1길 26-10,서울특별시 중구 북창동 104,37.562100,126.978000,2020,전용주,02-3396-6152,중구청 도로시설과,2021-03-29
