"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
01-17-01,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-02,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-03,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-04,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-05,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-06,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-07,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-08,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-09,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-10,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-11,1,서울특별시 성동구 무학로14길 25,서울특별시 성동구 하왕십리동 244-11,37.5682122,127.0329841,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-12,1,서울특별시 성동구 무학로14길 21-4,,37.5682073,127.0327444,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-13,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-14,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-15,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-16,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-17,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-18,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,건축물,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-19,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,건축물,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-20,1,서울특별시 성동구 무학로 50,서울특별시 성동구 하왕십리동 258,37.5691083,127.0326723,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-21,1,서울특별시 성동구 무학로14길 25,서울특별시 성동구 하왕십리동 244-11,37.5682122,127.0329841,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
01-17-22,1,서울특별시 성동구 무학로50,,37.5691083,127.0326723,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-01-01,1,서울특별시 성동구 왕십리로 391,,37.5648283,127.0268662,,건축물,02-2286-5787,서울특별시 성동구,2021-03-03
02-01-02,1,서울특별시 성동구 당골길 10-8,,,,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-01-03,1,서울특별시 성동구 왕십리로33길 6-13,,37.5643345,127.0268117,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-01-04,1,서울특별시 성동구 왕십리로33길 2-1,,37.5646624,127.0272464,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-01-05,1,서울특별시 성동구 당골길 6-1,,,,,건축물,02-2286-5787,서울특별시 성동구,2021-03-03
02-01-06,1,서울특별시 성동구 왕십리로33길 8-1,,37.5641723,127.0270471,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-01-07,1,서울특별시 성동구 왕십리로33길 8-11,서울특별시 성동구 하왕십리동 888-73,37.5639582,127.0268147,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-01-08,1,서울특별시 성동구 왕십리로33길 14-6,,37.5638949,127.0267979,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-01-09,1,서울특별시 성동구 당골길 30,,,,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-01-10,1,서울특별시 성동구 당골길 30,,,,,건축물,02-2286-5787,서울특별시 성동구,2021-03-03
02-01-11,1,서울특별시 성동구 당골길 24,서울특별시 성동구 하왕십리동 888-85,37.5637795,127.0267436,,건축물,02-2286-5787,서울특별시 성동구,2021-03-03
02-01-12,1,서울특별시 성동구 왕십리로33길 6-12,,37.5644318,127.0270109,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-01-13,1,서울특별시 성동구 왕십리로33길 6-20,,37.5645543,127.0269521,,건축물,02-2286-5787,서울특별시 성동구,2021-03-03
02-01-14,1,서울특별시 성동구 왕십리로33길 2-1,,37.5646624,127.0272464,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-01,1,서울특별시 성동구 당골길 5,,,,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-02,1,서울특별시 성동구 행당로9길 9,서울특별시 성동구 행당동 347-1,37.5581788,127.0293256,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-03,1,서울특별시 성동구 왕십리로33가길 9,,37.5644712,127.0278848,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-04,1,서울특별시 성동구 왕십리로31길 2,,37.5644712,127.0280749,,건축물,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-05,1,서울특별시 성동구 무학봉길 12,,,,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-06,1,서울특별시 성동구 무학봉길 6,,,,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-07,1,서울특별시 성동구 왕십리로33나길 22-1,,37.5635776,127.0273321,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-08,1,서울특별시 성동구 왕십리로31길12,서울특별시 성동구 하왕십리동 89-88,37.5637311,127.0275783,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-09,1,서울특별시 성동구 왕십리로33나길 15,서울특별시 성동구 하왕십리동 89-87,37.5638923,127.0275683,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-10,1,서울특별시 성동구 왕십리로33나길 14,,37.5639884,127.0274545,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-11,1,서울특별시 성동구 왕십리로33나길 6,,37.5642479,127.0275179,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-12,1,서울특별시 성동구 왕십리로33길 5,,37.5643128,127.0273323,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-13,1,서울특별시 성동구 왕십리로33길 5,,37.5643128,127.0273323,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-14,1,서울특별시 성동구 왕십리로33길 7-1,,37.5642515,127.0272689,,건축물,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-15,1,서울특별시 성동구 왕십리로33길 11-4,,37.5637614,127.0271148,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-16,1,서울특별시 성동구 왕십리로33길 12-1,서울특별시 성동구 하왕십리동 89-35,37.5637728,127.0268454,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-17,1,서울특별시 성동구 왕십리로33길 16-1,,37.5634696,127.0267933,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-18,1,서울특별시 성동구 왕십리로33길 19,,37.5635308,127.0270876,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-19,1,서울특별시 성동구 왕십리로33길 18-3,,37.5633181,127.0271237,,건축물,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-20,1,서울특별시 성동구 무학봉길 18-5,,,,,건축물,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-21,1,서울특별시 성동구 왕십리로33길 13-8,,37.5635956,127.0271193,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-22,1,서울특별시 성동구 왕십리로33가길 16,서울특별시 성동구 하왕십리동 891-47,37.5641991,127.0277386,,건축물,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-23,1,서울특별시 성동구 왕십리로33길 13,서울특별시 성동구 하왕십리동 89-35,37.5635938,127.026876,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-24,1,서울특별시 성동구 왕십리로 379,서울특별시 성동구 하왕십리동 89-8,37.5645505,127.0281021,,건축물,02-2286-5787,서울특별시 성동구,2021-03-03
02-02-25,1,서울특별시 성동구 왕십리로 379,서울특별시 성동구 하왕십리동 89-8,37.5645505,127.0281021,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-01,1,서울특별시 성동구 왕십리길 194,,,,,건축물,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-02,1,서울특별시 성동구 왕십리로31길 3,,37.5643775,127.0282062,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-03,1,서울특별시 성동구 왕십리로 379,서울특별시 성동구 하왕십리동 89-8,37.5645505,127.0281021,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-04,1,서울특별시 성동구 왕십리로31가길3,,37.5642513,127.0282469,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-05,1,서울특별시 성동구 왕십리로373,,37.5642981,127.0286634,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-06,1,서울특별시 성동구 왕십리로31가길19,,37.5640709,127.0291070,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-07,1,서울특별시 성동구 무학봉1길 8,,,,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-08,1,서울특별시 성동구 왕십리로31길 9-15,,37.5636891,127.0281742,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-09,1,서울특별시 성동구 왕십리로31길5,서울특별시 성동구 하왕십리동 89-389,37.5640425,127.0280825,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-10,1,서울특별시 성동구 왕십리로31길9,,37.5637829,127.0279388,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-11,1,서울특별시 성동구 왕십리로31길 9,서울특별시 성동구 하왕십리동 89-391,37.5637403,127.0279291,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-12,1,서울특별시 성동구 왕십리로31길 9-15,,37.5636891,127.0281742,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-13,1,서울특별시 성동구 무학봉길 17-3,,,,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-14,1,서울특별시 성동구 왕십리로31나길 23,,37.5631052,127.0284864,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-15,1,서울특별시 성동구 왕십리로31나길 15,,37.5632025,127.0282555,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-17,1,서울특별시 성동구 왕십리로31나길4,서울특별시 성동구 하왕십리동 89-144,37.5630198,127.0275298,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-18,1,서울특별시 성동구 왕십리로31나길2,,37.5629973,127.0274541,,건축물,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-19,1,서울특별시 성동구 왕십리로33길20-6,,37.5633145,127.0272324,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-20,1,서울특별시 성동구 왕십리로31길15,,37.5634189,127.0276444,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-21,1,서울특별시 성동구 왕십리로31길 12-1,,37.5636856,127.0275585,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-22,1,서울특별시 성동구 왕십리로31길 11-2,,37.5635955,127.0276852,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-23,1,서울특별시 성동구 왕십리로31길 9-26,,37.5634513,127.0280383,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-24,1,서울특별시 성동구 왕십리길 198-1,,,,,건축물,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-25,1,서울특별시 성동구 왕십리로31나길4,서울특별시 성동구 하왕십리동 89-144,37.5630198,127.0275298,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-03-26,1,서울특별시 성동구 왕십리로31나길39,서울특별시 성동구 하왕십리동 89-12,37.563708,127.0288271,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-04-01,1,서울특별시 성동구 왕십리로31가길 23,,37.5640673,127.0292926,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-04-02,1,서울특별시 성동구 왕십리로31나길 42-9,,37.5636167,127.0293423,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-04-03,1,서울특별시 성동구 왕십리로31나길 39-1,,37.5636673,127.0287718,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-04-04,1,서울특별시 성동구 왕십리로31나길 29,서울특별시 성동구 하왕십리동 89-15,37.5633324,127.0285139,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-04-05,1,서울특별시 성동구 왕십리로31나길 27,,37.5632565,127.0285498,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
02-04-06,1,서울특별시 성동구 왕십리로31가길 26,,37.5638366,127.0293786,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-04-07,1,서울특별시 성동구 왕십리로31가길 26-7,서울특별시 성동구 하왕십리동 946-3,37.5636694,127.0292747,,건축물,02-2286-5787,서울특별시 성동구,2021-03-03
02-04-08,1,서울특별시 성동구 왕십리로31가길 31,,37.5638473,127.0297679,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-04-09,1,서울특별시 성동구 왕십리길 208,,,,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-04-10,1,서울특별시 성동구 왕십리길 208,,,,,전용주,02-2286-5787,서울특별시 성동구,2021-03-03
02-04-11,1,서울특별시 성동구 왕십리로31가길34-3,,37.5636130,127.0297995,,한전주,02-2286-5787,서울특별시 성동구,2021-03-03
