"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11200-00001,응봉,근린공원,서울특별시 성동구 독서당로63길 85(금호동1가),,37.55240898,127.0168169,417284.88,"농구장 1개소, 배드민턴장 13, 게이트볼장 1개소. 체력단련시설 25개소 189기 등","조합놀이대 3기, 모래밭 1기, 그네 2기, 시소 1기",화장실 5개소,독서실 1개소,없음,1977-07-14,서울특별시 성동구,02-2886-5656,2021-03-03
11200-00002,달맞이,근린공원,서울특별시 성동구 독서당로40길 25,서울특별시 성동구 금호동4가 산 27,37.5431911,127.0209563,63411.43,"배드민턴장 2개소, 체력단련시설 6개소 36개","조합놀이대 1기, 시소 2개",화장실 1개소,없음,없음,1940-03-12,서울특별시 성동구,02-2886-5656,2021-03-03
11200-00003,무학봉,근린공원,서울특별시 성동구 난계로 114-31,서울특별시 성동구 하왕십리동 890-243,37.56245341,127.0261455,28843,"배드민턴장 1개소, 농구장 1개소, 체력단련시설 3개소 29개",없음,화장실 1개소,없음,없음,1977-07-14,서울특별시 성동구,02-2886-5656,2021-03-03
11200-00004,금호,근린공원,서울특별시 성동구 금호산길 5-15(금호동3가),서울특별시 성동구 금호동3가 1266,37.54967863,127.018989,13467.8,"다목적체육관 1동, 체력단련시설 1개소 4개",없음,없음,문화회관 1개소,없음,1963-04-26,서울특별시 성동구,02-2886-5656,2021-03-03
11200-00005,용답휴식,근린공원,서울특별시 성동구 천호대로 232,서울특별시 성동구 용답동 128-3,37.56977172,127.0478008,6046.9,"배드민턴장 1개소, 농구정 1개소, 체력단련시설 1개소 7개",없음,화장실 1개소,없음,없음,1963-04-26,서울특별시 성동구,02-2886-5656,2021-03-03
11200-00006,성수,근린공원,서울특별시 성동구 연무장3길 14,서울특별시 성동구 성수동2가 302-25,37.54487533,127.0521316,5197.7,"농구장 1개소, 체력단련시설 1개소 5개",없음,화장실 1개소,없음,없음,1997-03-21,서울특별시 성동구,02-2886-5656,2021-03-03
11200-00007,성원,어린이공원,서울특별시 성동구 상원10길 21,서울특별시 성동구 성수동1가 13-21,37.55011556,127.0500021,982.5,체력단련시설 1개소 4개,"조합놀이대 1개소, 모래밭 1개소",없음,없음,없음,1961-04-16,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00008,동마장,어린이공원,서울특별시 성동구 마장동 마장로42길 13 동마장어린이공원,서울특별시 성동구 마장동 780-1,37.56622804,127.0456969,1090.9,체력단련시설 1개소 3개,"조합놀이대 1개소, 모래밭 1개소",화장실 1개소,없음,없음,1977-02-04,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00009,응봉새말,어린이공원,서울특별시 성동구 응봉동 228-23,서울특별시 성동구 응봉동 228-23,37.551699,127.035857,311,없음,"조합놀이대 1개소, 모래밭 1개소",없음,없음,없음,1979-05-11,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00010,사근,어린이공원,서울특별시 성동구 사근동 291-10,서울특별시 성동구 사근동 291-10,37.563417,127.047606,496,체력단련시설 1개소 3개,"조합놀이대 1개소, 그네 1개",없음,없음,없음,1979-08-20,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00011,마장,어린이공원,서울특별시 성동구 마조로 51-2,서울특별시 성동구 마장동 399-102,37.56213371,127.0413516,911,체력단련시설 1개소 4개,"조합놀이대 1개소, 그네 1개, 시소 1개",없음,없음,없음,1977-04-28,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00012,성삼,어린이공원,서울특별시 성동구 성수이로18길 31,서울특별시 성동구 성수동2가 273-11,37.54205593,127.0600843,1812.2,"배드민터장 1개소, 체력단련시설 1개소 6개",없음,화장실 1개소,없음,없음,1961-04-16,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00013,은행나무터,어린이공원,서울특별시 성동구 연무장길 37-29,서울특별시 성동구 성수동2가 316-9,37.54371238,127.0536131,675.4,없음,"조합놀이대 1개소, 그네 1개",없음,없음,없음,1961-04-16,서울특별시 성동구,02-2886-5655,2021-03-03
