"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11170-00001,효창공원,근린공원,서울특별시 용산구 임정로 26,서울특별시 용산구 효창동 255,37.5442779444,126.9592546183,171277,"운동장, 배드민턴장, 게이트볼장 등","조합놀이대, 그네 등","주차장, 매점, 화장실, 음수대 등","동상, 탑기념비",,1940-03-12,용산구청,02-2199-7594,2020-03-17
11170-00002,새나라어린이공원,어린이공원,서울특별시 용산구 후암로13가길 25,서울특별시 용산구 후암동 190-1,37.5483190848,126.9763501,2340,다목적 인조잔디마당,"조합놀이대, 그네 등","화장실, 음수대",,,1940-03-12,용산구청,02-2199-7605,2020-03-17
11170-00003,늘푸른어린이공원,어린이공원,서울특별시 용산구 원효로41가길 14-19,서울특별시 용산구 원효로3가 1-139,37.5349029773,126.9565533557,2300,,"조합놀이대, 그네 등",화장실,,,1940-03-12,용산구청,02-2199-7605,2020-03-17
11170-00004,청파어린이공원,어린이공원,,서울특별시 용산구 서계동 226-3,37.55354582,126.9683175,8324,,"조합놀이대, 그네 등",화장실,,,1940-03-12,용산구청,02-2199-7605,2020-03-17
11170-00005,동자어린이공원,어린이공원,서울특별시 용산구 한강대로104길 30-4,서울특별시 용산구 동자동 24-11,37.55008973,126.9739448331,712,,"조합놀이대, 그네 등",화장실,,,1940-03-12,용산구청,02-2199-7605,2020-03-17
11170-00006,이태원어린이공원,어린이공원,,서울특별시 용산구 이태원2동 286-1,37.53840706,126.9890406,2858,,"그네, 시소 등",화장실,,,1940-03-12,용산구청,02-2199-7605,2020-03-17
11170-00007,새꿈어린이공원,어린이공원,,서울특별시 용산구 동자동 8,37.55256321,126.9744764,1828,,조합놀이대,화장실,,,1940-03-12,용산구청,02-2199-7605,2020-03-17
11170-00008,돌모루어린이공원,어린이공원,서울특별시 용산구 원효로97길 50,서울특별시 용산구 청파동3가 118-102,37.54277172,126.9685903,3447,,조합놀이대,"주차장, 화장실",,,1940-03-12,용산구청,02-2199-7605,2020-03-17
11170-00009,신계공원,역사공원,서울특별시 용산구 청파로 139-25,서울특별시 용산구 신계동 55,37.5350791483,126.9662835141,15000,,,"화장실, 음수대",,,1940-03-12,용산구청,02-2199-7603,2020-03-17
11170-00010,소월길어린이공원,어린이공원,,서울특별시 용산구 이태원2동 463,37.54356278,126.9892426,1630,,"조합놀이대, 그네 등",음수대,,,1963-12-16,용산구청,02-2199-7605,2020-03-17
11170-00011,꿈나무공원,소공원,,서울특별시 용산구 이촌1동 301-86,37.52079543,126.9717206,1412,,조합놀이대,음수대,,,1972-02-16,용산구청,02-2199-7605,2020-03-17
11170-00012,새싹어린이공원,어린이공원,서울특별시 용산구 이촌로14길 11-22,서울특별시 용산구 이촌2동 206-1,37.52696094,126.9545216180,480,,"조합놀이대, 그네 등",,,,1973-03-23,용산구청,02-2199-7605,2020-03-17
11170-00013,삼각지어린이공원,어린이공원,,서울특별시 용산구 용산동3가 1-96,37.53440608,126.9753924,803,,"조합놀이대, 그네 등","화장실, 음수대",,,1973-06-04,용산구청,02-2199-7605,2020-03-17
11170-00014,응봉공원,근린공원,,서울특별시 용산구 한남동 산8-1,37.54498748,127.0053039,187834,"테니스장, 배드민턴장 등","조합놀이대, 모래놀이터 등","주차장, 화장실",,,1977-07-09,용산구청,02-2199-7593,2020-03-17
11170-00015,동빙고공원,근린공원,,서울특별시 용산구 용산동6가 69-163,37.51739634,126.9839844,55740,테니스장 등,,"주차장, 화장실",문화회관,,1977-07-09,용산구청,02-2199-7603,2020-03-17
11170-00016,두텁바위어린이공원,어린이공원,,서울특별시 용산구 동자동 50,37.55205433,126.9729442,2623,,조합놀이대,,,,1978-07-30,용산구청,02-2199-7605,2020-03-17
11170-00017,효창어린이공원,어린이공원,,서울특별시 용산구 효창동 5-712,37.54279186,126.9585527,525,,,,,,1981-01-30,용산구청,02-2199-7605,2020-03-17
11170-00018,이촌공원,소공원,,서울특별시 용산구 이촌2동 301-60,37.51876588,126.9797915,1736,,조합놀이대,음수대,,,1984-03-30,용산구청,02-2199-7605,2020-03-17
11170-00019,새푸리공원,소공원,,서울특별시 용산구 이촌동 399,37.5215997,126.967852,231,,조합놀이대,,,,1992-12-24,용산구청,02-2199-7605,2020-03-17
11170-00020,도원어린이공원,어린이공원,,서울특별시 용산구 도원동 21,37.53715411,126.9547839,1500,,"조합놀이대, 그네 등",화장실,,,1994-01-10,용산구청,02-2199-7605,2020-03-17
11170-00021,강변공원,소공원,,서울특별시 용산구 이촌동 408,37.52133783,126.9750392,1766,,조합놀이대,음수대,,,1995-02-22,용산구청,02-2199-7605,2020-03-17
11170-00022,솔밭어린이공원,어린이공원,,서울특별시 용산구 한강로1가 30-3,37.53722942,126.9736678,2090,,조합놀이대,,,,2001-07-10,용산구청,02-2199-7605,2020-03-17
11170-00023,신창동어린이공원,어린이공원,,서울특별시 용산구 신창동 100,37.53667041,126.9540891,257,,,,,,2003-02-20,용산구청,02-2199-7605,2020-03-17
